"title","field_biblio_auteur_value","field_biblio_editeur_value","field_biblio_pp_value","field_biblio_code_value","field_biblio_collection_value","field_biblio_langues_value","field_biblio_isbn_value","field_biblio_prix_value","filepaths"
"Miguel Chevalier - Revolution","Miguel Chevelier, Eric Palliet; avec des textes de Pierre Restany et Laurence Bertrand Dorléac","Atelier Ofset: Comédie de Caen","28 p.","1989-CB-REVOLUTION",NULL,"Français/Anglais",NULL,NULL,"sites/default/files/media/images/scan0012-3.jpg,sites/default/files/media/images/1989-cb-revolution2.jpg"
"Miguel Chevalier","Jérôme Neutres/David Rosenberg/Miguel Chevalier","Bernard Chauveau","236 pp.","2018-CB-MONOMC",NULL,"Français/Anglais",9782363062437,"39 €","sites/default/files/media/images/2018-cb-monomc6.jpg,sites/default/files/media/images/2018-cb-monomc5.jpg,sites/default/files/media/images/2018-cb-monomc4.jpg,sites/default/files/media/images/2018-cb-monomc3_0.jpg,sites/default/files/media/images/2018-cb-monomc2.jpg,sites/default/files/media/images/2018-cb-monomc1.jpg"
"L'art en route","Jean-Pierre Frimbois","La Manufacture de l'image","68 pages.
Pandore 3. PANDORE est une édition hors-série de Topographie de l'art","2017-CB-LARTENROUTE","Pandore","Français","978-2-36669-031-6",NULL,"sites/default/files/media/images/2017-cb-lartenroute3.jpg,sites/default/files/media/images/2017-cb-lartenroute1_0.jpg,sites/default/files/media/images/2017-cb-lartenroute2_0.jpg"
"Hortus 2.0",NULL,"EDIS","62 pages","2017-CB-HORTUS2.0",NULL,"Français","978-2-9561515-0-0",NULL,"sites/default/files/media/images/2017-cb-hortus2.0tx.jpg"
"Data Cities","Interview à Philippe Sueur par Aruel Kyrou avec Xavier-Eric Lunion","Centre des arts Enghien-les-bains","223 p.
pp.42-47chapitre sur Miguel Chevalier: \"Miguel Chevalier, Cluster Media Arts - Enghien-les-bains, France\" 
","2017-CB-DATACITIES",NULL,"Français/Anglais","978-2-916639-44-4","20€","sites/default/files/media/images/2017-cb-datacitiesv.jpg"
"Artists & Robots",NULL,NULL,"40 pages","2017-E-ARTISTS&ROBOTS",NULL,"Anglais/Russe",NULL,NULL,"sites/default/files/media/images/2017-cb-artrobomc.jpg"
"Artists & Robots","Textes de Jérôme Neutres, Maurice Fréchuret, Edward A. Shanken, Edmond Couchot","Rmn - Grand Palais","215 p.","2017-CB-ARTISTS&ROBOTS",NULL,"Anglais/Russe","978-2-7118-7036-3",NULL,"sites/default/files/media/images/2017-cb-artistsrobotsv.jpg"
"Digital Paradise 2014","Miguel Chevalier","Puerta Roja","32 p.","2014-CB-DIGITPARADISE","-","Anglais","-","-","sites/default/files/media/images/2014-cb-digitpar2.jpg"
"Living codes","Domenico Quaranta","PaciArte contemporary","12 p.","2010-CB-LIVCODES",NULL,"Italien/Anglais",NULL,NULL,"sites/default/files/media/images/2010-cb-livcodes2.jpg,sites/default/files/media/images/2010-cb-livcodes3.jpg"
