"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
" L'algorithme pixelisé, \"Une Nuit d'Art-ventures 2005\"","Place Saint-Sulpice, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISNUITDART",NULL
"+ - Dense","Galerie du Petit Château, Sceaux (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-SCEAUX",NULL
"10 ans","Centre d'art contemporain Bouvet Ladubay, 49400 Saumur (FRA)","groupe","2001-06-27T00:00:00","2001-09-30T00:00:00",NULL,"2001-E-SAUMUR",NULL
"10 ans d'édition 1982/1992","Fort Napoléon, La Seyne-sur-Mer (FRA)","groupe","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-SEYNESURMER",NULL
"1899/1999 - Le Passage du Siècle","Passage de Retz, Paris (FRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-PARISRETZ",NULL
"1er contact","Le Cube, Ville d'Issy-les-Moulineaux, (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-ISSYLESMOULINEAUX",NULL
"2050 - Une brève histoire de l'avenir"," Musées royaux des Beaux-Arts de Belgique, 3, Rue de la Régence / Regentschapsstraat 1000 Bruxelles, Belgique","perso","2015-09-11T00:00:00","2016-01-24T00:00:00","Pierre-Yves Desaive, Jennifer Beauloye, Jacques Attali","2015-E-BRUXELLES",NULL
"51 artistes éditées par Eric Linard","Espace Saint Louis, Avignon (FRA)","groupe","2002-01-01T00:00:00","2002-01-01T00:00:00",NULL,"2002-E-AVIGNON",NULL
"51e Salon d'Art Contemporain de Montrouge","Montrouge (FRA)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-MONTROUGE",NULL
"80 artistes autour du Mondial","Galerie Enrico Navarra, Paris (FRA)","groupe","1998-01-01T00:00:00","1998-01-01T00:00:00",NULL,"1998-E-PARISNAVARRA",NULL
"?","New york","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2006-E-NEWYORK","sites/default/files/media/images/2006-e-newyork-1.jpg,sites/default/files/media/images/2006-e-newyork-2.jpg,sites/default/files/media/images/2006-e-newyork-3.jpg,sites/default/files/media/images/2006-e-newyork-4.jpg,sites/default/files/media/images/2006-e-newyork-5.jpg"
"A Light Odyssey","Galerie Messine, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISMESSINE1","sites/default/files/media/images/2010-e-parismessine1-2.jpg,sites/default/files/media/images/2010-e-parismessine1-3.jpg,sites/default/files/media/images/2010-e-parismessine1-1.jpg"
"Abstract X ED 2","Galerie Aeroplastic, 186 rue Washington, B-1050, Bruxelles (BEL)","groupe","2017-06-16T00:00:00","2017-07-16T00:00:00","Jérôme Jacobs, Galerie Aeroplastics","2017-E-BRUXELLESWASHINGTON2",NULL
"Accrochage","Espace art et compagnie, Paris","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-PARISESPACEART",NULL
"ACM Siggraph","Dallas","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-DALLAS",NULL
"Acquisitions 2000","Fonds départemental d'art contemporain Val-de-Marne, Créteil (FRA)","groupe","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-CRETEIL",NULL
"Acquisitions du FNAC","Centre national des arts plastiques, Paris (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISCNAP",NULL
"Adamà","PaRDes Laboratorio di Ricerca d'Arte Contemporanea, Via Miranese 42 - Mirano, Venezia, Italie","groupe","2011-05-15T00:00:00","2011-07-17T00:00:00","Maria Luisa Trevisan","2011-E-MIRANO","sites/default/files/media/images/2004-vd-voyagesdvd10.jpg,sites/default/files/media/images/2004-vd-voyagesdvd9.jpg,sites/default/files/media/images/2004-vd-voyagesdvd7.jpg,sites/default/files/media/images/2004-vd-voyagesdvd5.jpg,sites/default/files/media/images/2004-vd-voyagesdvd4.jpg,sites/default/files/media/images/2004-vd-voyagesdvd3_0.jpg,sites/default/files/media/images/2004-vd-voyages6.jpg,sites/default/files/media/images/2004-vd-voaygesdvd8.jpg"
"Al Musica","Philarmonie de Paris, (FRA)","groupe","2018-04-06T00:00:00","2018-10-19T00:00:00",NULL,"2018-E-PARISPHIL",NULL
