"title","field_oeuvre_code_value","field_oeuvre_realisee_value","field_oeuvre_description_value","field_oeuvre_dimensions_value","field_oeuvres_elem_techniques_value","field_oeuvre_edition_value","field_oeuvre_cout_prod_value","field_oeuvre_val_assurance_value","field_oeuvre_prix_vente_value","field_oeuvre_notes_value","field_oeuvre_memo_value","field_oeuvre_emplacement_value","field_oeuvre_collection_value","field_oeuvre_cout_prod_dol_value","field_oeuvre_val_assurance_dol_value","field_oeuvre_prix_vente_dol_value","field_oeuvre_publiable_value","field_oeuvres_notice_value","field_oeuvres_legende_value","field_oeuvres_dim_feet_value","field_sous_titre_value","field_oeuvre_date_value","field_courtesy_value","field_oeuvre_adresse_web_url","category","localisation","logicel","series","filepaths"
"Baroque & classique 1, 1981","1981-BC-BCLASSIQUE1","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 1, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique","sites/default/files/media/images/1981-bc-bclassique1-a_0.jpg"
"Baroque & classique 10, 1981","1981-BC-BCLASSIQUE10","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 10, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 11, 1981","1981-BC-BCLASSIQUE11","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 11, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 12, 1981","1981-BC-BCLASSIQUE12","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 12, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 13, 1981","1981-BC-BCLASSIQUE13","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 13, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 14, 1981","1981-BC-BCLASSIQUE14","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 14, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 15, 1981","1981-BC-BCLASSIQUE15","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 15, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 16, 1981","1981-BC-BCLASSIQUE16","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 16, Miguel Chevalier, Sérigraphie sur Formica, 1981, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 17, 1981","1981-BC-BCLASSIQUE17","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 17, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 18, 1981","1981-BC-BCLASSIQUE18","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 18, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique","sites/default/files/media/images/1981-bc-bclassique18.jpg"
